id,name,pad_type,latitude,longitude,retired,location_id,changed,url,wiki_url
146,"Soyuz Launch Complex, Kourou/Sinnamary",0,5.301900000000000,-52.834600000000000,0,3,2017-02-21 00:00:00,http://www.arianespace.com/spaceport-soyuz/overview.asp,https://en.wikipedia.org/wiki/Ensemble_de_Lancement_Soyouz
147,"Unknown, Xichang Satellite Launch Center",0,28.246017000000000,102.026556000000000,0,25,2017-02-21 00:00:00,Unknown,https://en.wikipedia.org/wiki/Xichang_Satellite_Launch_Center
148,Unknown,0,31.023300000000000,34.972800000000000,0,26,2017-02-21 00:00:00,Unknown,https://en.wikipedia.org/wiki/Negev
149,"Unknown, Palmachim Airbase, Israel",0,31.897778000000000,34.690556000000000,0,27,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Palmachim_Airbase
150,"LP-41, Barking Sands",0,22.022778000000000,-159.785000000000000,0,28,2017-02-21 00:00:00,https://en.wikipedia.org/wiki/Pacific_Missile_Range_Facility,https://en.wikipedia.org/wiki/Pacific_Missile_Range_Facility
152,"35/1, Plesetsk Cosmodrome, Russia",0,62.927319000000000,40.574897000000000,0,11,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Plesetsk_Cosmodrome_Site_35
153,Naro,0,34.431867000000000,127.535069000000000,0,31,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Naro_Space_Center
154,Launch Pad 1,0,57.435833000000000,-152.337778000000000,0,32,2020-02-03 17:15:49,,https://en.wikipedia.org/wiki/Pacific_Spaceport_Complex_%E2%80%93_Alaska
155,"Wenchang, China",0,19.614354000000000,110.951057000000000,0,33,2020-05-05 19:05:08,,https://en.wikipedia.org/wiki/Wenchang_Satellite_Launch_Center
156,"LD1, Vostochny Cosmodrome, Siberia, Russian Federation",0,51.815581000000000,128.296552000000000,0,34,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Vostochny_Cosmodrome
157,"PU1, Vostochny Cosmodrome, Siberia, Russian Federation",0,51.000000000000000,128.000000000000000,0,34,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Vostochny_Cosmodrome#Launch_pads
159,Launch and Landing Pad 1,0,31.422929100000000,-104.757206400000000,0,36,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Corn_Ranch
160,West Texas Suborbital Launch Site / Corn Ranch,0,31.422878000000000,-104.757121000000000,0,35,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Corn_Ranch
161,"Unknown pad, Sohae Satellite Launching Station",0,39.660000000000000,124.705000000000000,0,38,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Sohae_Satellite_Launching_Station
162,Kwajalein Atoll,0,8.716667000000000,167.733333000000000,0,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Kwajalein_Atoll
163,Vandenberg Air Force Base,0,34.732778000000000,-120.568056000000000,0,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Vandenberg_Air_Force_Base
164,Cape Canaveral,0,28.455556000000000,-80.527778000000000,0,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral
165,Wallops Flight Facility,0,37.938611000000000,-75.457222000000000,0,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Wallops_Flight_Facility
166,Rocket Lab Launch Complex 1A,0,-39.262833000000000,177.864469000000000,0,40,2020-06-11 05:28:15,,https://en.wikipedia.org/wiki/Rocket_Lab_Launch_Complex_1
167,Edwards Air Force Base,0,34.905556000000000,-117.883611000000000,1,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Edwards_Air_Force_Base
168,"Gran Canaria, Spain",0,27.966667000000000,-15.600000000000000,1,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Gran_Canaria
169,"Unknown, Uchinoura Space Center, Japan",0,31.251944000000000,131.081944000000000,0,41,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Uchinoura_Space_Center
170,"Cosmodrome Site 1S, Vostochny Cosmodrome, Siberia, Russian Federation",0,51.884395000000000,128.333932000000000,0,34,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Vostochny_Cosmodrome
